CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
18,5,0,11,34,low
18,5,1,12,36,low
18,1,1,16,36,normal
18,1,1,34,54,normal
18,1,0,24,43,normal
18,0,0,23,41,normal
18,0,0,27,45,normal
18,5,0,28,51,normal
18,1,0,14,33,normal
18,5,0,25,48,normal
18,4,1,30,53,normal
18,5,1,30,54,normal
62,24,7,2,95,low
51,23,6,1,81,low
114,23,10,19,166,normal
85,22,9,9,125,normal
102,24,4,20,150,normal
101,18,3,17,139,normal
116,19,0,17,152,normal
117,38,50,5,210,heavy
114,32,34,2,182,heavy
120,17,23,1,161,normal
145,20,25,2,192,heavy
125,30,48,1,204,heavy
103,27,45,1,176,heavy
114,20,43,1,178,heavy
145,10,44,1,200,heavy
147,31,20,4,202,heavy
104,24,40,0,168,heavy
124,11,22,0,157,normal
101,37,31,4,173,heavy
144,30,37,1,212,heavy
24,18,37,18,97,normal
24,8,17,25,74,normal
16,22,12,20,70,normal
26,2,39,26,93,normal
90,7,18,15,130,normal
59,6,11,11,87,low
28,7,22,18,75,normal
60,5,14,21,100,normal
69,9,8,23,109,normal
59,9,12,26,106,normal
24,10,5,21,60,normal
41,7,7,21,76,normal
48,10,9,29,96,normal
59,10,14,23,106,normal
67,7,12,28,114,high
52,9,8,20,89,normal
45,26,29,10,110,normal
14,21,7,18,60,normal
55,22,24,10,111,normal
45,14,39,5,103,normal
90,17,16,11,134,normal
33,21,25,5,84,normal
118,25,31,13,187,heavy
86,28,13,5,132,normal
105,29,22,12,168,heavy
10,19,26,8,63,normal
46,22,18,9,95,normal
105,35,48,6,194,heavy
135,37,34,5,211,heavy
103,29,44,6,182,heavy
113,13,42,10,178,heavy
103,20,27,9,159,high
150,13,20,9,192,heavy
116,25,33,8,182,heavy
109,16,41,9,175,heavy
112,11,50,5,178,heavy
104,31,30,5,170,heavy
146,18,40,6,210,heavy
110,24,10,29,173,heavy
60,15,12,25,112,high
103,9,14,29,155,high
102,6,15,6,129,normal
51,17,16,8,92,normal
62,12,11,18,103,normal
103,14,12,5,134,normal
50,7,11,23,91,normal
80,14,20,6,120,normal
98,13,18,21,150,high
53,25,20,13,111,normal
52,8,10,27,97,normal
71,23,13,21,128,high
17,3,0,29,49,normal
20,5,1,36,62,normal
15,0,0,32,47,normal
15,0,1,20,36,normal
14,2,0,23,39,normal
13,1,0,29,43,normal
14,5,0,31,50,normal
16,3,0,33,52,normal
18,4,1,15,38,normal
20,0,1,23,44,normal
19,3,0,16,38,normal
10,3,0,12,25,low
10,4,0,23,37,normal
12,5,0,29,46,normal
10,0,0,39,49,normal
16,2,1,21,40,normal
18,4,1,36,59,normal
15,1,0,14,30,normal
17,4,0,13,34,normal
18,3,1,24,46,normal
19,2,0,11,32,low
19,3,0,21,43,normal
19,3,1,31,54,normal
14,2,1,19,36,normal
11,0,0,27,38,normal
27,6,1,11,45,low
33,11,6,13,63,normal
63,6,7,10,86,low
58,13,4,15,90,normal
57,11,7,10,85,low
63,10,6,12,91,low
74,9,0,15,98,normal
71,9,7,10,97,low
33,9,6,13,61,normal
29,6,1,12,48,low
32,9,3,11,55,low
57,14,3,11,85,low
31,11,0,14,56,normal
30,9,3,10,52,low
61,8,7,12,88,low
47,10,4,10,71,low
80,16,4,15,115,normal
49,10,2,10,71,low
58,7,5,13,83,normal
53,19,1,10,83,low
132,47,25,0,204,heavy
131,52,15,0,198,heavy
171,59,27,3,260,heavy
131,43,20,3,197,heavy
177,56,12,4,249,heavy
160,47,30,3,240,heavy
178,68,28,4,278,heavy
169,70,20,3,262,heavy
133,56,25,2,216,heavy
151,52,13,0,216,heavy
179,46,27,3,255,heavy
144,68,20,0,232,heavy
162,46,19,2,229,heavy
159,44,23,2,228,heavy
174,67,30,1,272,heavy
136,57,29,4,226,heavy
156,42,12,3,213,heavy
175,63,19,3,260,heavy
172,62,20,2,256,heavy
171,49,15,0,235,heavy
172,65,18,2,257,heavy
176,50,13,1,240,heavy
153,50,23,3,229,heavy
148,64,27,0,239,heavy
56,28,6,2,92,low
88,26,25,0,139,normal
82,23,14,0,119,normal
77,20,7,0,104,low
66,24,1,0,91,low
72,22,8,2,104,low
62,28,21,2,113,normal
66,26,4,1,97,low
85,20,4,0,109,low
87,24,11,2,124,normal
67,28,25,0,120,normal
70,26,16,2,114,normal
62,20,20,1,103,normal
67,29,1,0,97,low
65,25,1,1,92,low
76,24,23,0,123,normal
42,1,5,11,59,low
42,10,3,1,56,low
31,11,1,12,55,low
47,7,3,6,63,low
28,7,2,4,41,low
22,3,6,1,32,low
29,1,7,5,42,low
43,9,1,11,64,low
23,3,3,8,37,low
21,2,5,15,43,normal
31,2,1,9,43,low
15,5,0,18,38,normal
11,2,0,15,28,normal
12,0,1,17,30,normal
18,3,0,18,39,normal
19,1,0,31,51,normal
17,0,0,22,39,normal
15,5,0,14,34,normal
15,1,1,24,41,normal
18,4,0,33,55,normal
14,4,0,34,52,normal
14,0,1,19,34,normal
19,3,0,36,58,normal
10,4,1,21,36,normal
19,1,0,19,39,normal
18,5,0,26,49,normal
17,1,1,25,44,normal
20,2,0,12,34,low
15,5,0,15,35,normal
11,4,0,14,29,normal
14,3,1,18,36,normal
13,2,0,39,54,normal
17,5,0,29,51,normal
13,5,0,31,49,normal
18,5,0,35,58,normal
15,4,0,16,35,normal
55,15,5,3,78,low
76,10,7,9,102,low
98,0,9,19,126,normal
98,12,6,6,122,normal
103,2,10,20,135,normal
93,17,8,12,130,normal
115,27,9,16,167,normal
120,12,22,3,157,normal
142,18,27,0,187,heavy
117,29,49,2,197,heavy
126,36,24,0,186,heavy
110,39,38,5,192,heavy
149,20,39,5,213,heavy
109,29,23,5,166,normal
124,34,24,4,186,heavy
149,35,32,1,217,heavy
125,32,38,4,199,heavy
101,23,38,1,163,high
137,36,30,0,203,heavy
139,15,21,3,178,heavy
19,3,29,9,60,normal
13,11,39,7,70,normal
31,2,29,27,89,normal
18,24,21,22,85,normal
26,12,14,13,65,normal
31,15,13,28,87,normal
12,22,8,11,53,low
54,5,13,23,95,normal
59,7,13,21,100,normal
58,8,6,23,95,normal
53,8,9,25,95,normal
54,7,7,20,88,normal
39,10,4,29,82,normal
38,9,8,22,77,normal
36,5,10,23,74,normal
68,6,12,24,110,normal
50,18,26,14,108,normal
120,28,22,20,190,heavy
60,14,28,9,111,normal
105,14,8,19,146,normal
89,27,18,8,142,normal
28,17,31,10,86,normal
79,14,23,6,122,normal
15,11,30,14,70,normal
77,27,23,18,145,normal
19,14,24,6,63,normal
79,13,28,7,127,high
114,10,22,9,155,normal
150,30,22,5,207,heavy
142,23,25,7,197,heavy
111,36,25,6,178,heavy
143,37,38,8,226,heavy
120,37,43,10,210,heavy
147,20,49,7,223,normal
140,22,27,5,194,heavy
128,37,20,9,194,heavy
114,23,42,10,189,heavy
117,20,22,9,168,heavy
93,24,17,23,157,high
65,15,15,8,103,low
100,22,14,8,144,normal
85,12,11,18,126,normal
56,7,12,12,87,low
50,12,15,18,95,normal
74,9,11,12,106,low
73,15,18,7,113,normal
99,13,20,30,162,high
110,14,17,8,149,normal
82,5,12,34,133,high
58,19,12,17,106,normal
70,10,14,32,126,high
10,1,0,33,44,normal
14,1,1,40,56,normal
17,1,1,17,36,normal
12,4,1,22,39,normal
15,0,0,16,31,normal
13,4,0,25,42,normal
14,5,1,12,32,low
18,1,1,35,55,normal
18,5,1,19,43,normal
19,3,0,38,60,normal
13,0,1,12,26,low
20,0,1,38,59,normal
20,1,1,24,46,normal
17,3,1,17,38,normal
12,3,1,35,51,normal
19,0,1,30,50,normal
19,2,1,30,52,normal
18,1,0,16,35,normal
11,0,0,31,42,normal
10,1,1,12,24,low
16,1,0,24,41,normal
18,3,0,28,49,normal
20,1,1,39,61,normal
19,3,1,27,50,normal
